price.symbol,shortName,longBusinessSummary,sector,industry,beta,marketCap,OCY Margin,priceToSalesTrailing12Months,revenueGrowth,Revenue Multiplier,Revenu M nOrmalised,52WeekChange,currentPrice,mostRecentQuarter,trailingAnnualDividendYield,payoutRatio,exDividendDate,heldPercentInsiders,heldPercentInstitutions,country,Employees,EarningsGrowth,EVEBITDA,Floatshares,ForwardEps,PricetoBook,ProfitMargin,SharesOutstaning,TrailingEPs,CurrentPrice2,DebttoEquity,FreeCashflow,GrossMargin,OperatingCashflow,OperatingMargin,ProfitMargin3,QuickRatio,ROA,Revenuepershare,TotalCash,TotalDebt,totalRevenue,Fiftytwoweekhigh,Fiftytwoweeklow,priceToSalesTrailing12Months4,AnnualDividednYield,TrailingPE,City,Country5,Earningdateexpected,targetMeanPrice,targetHighPrice,totalRevenue_raw,marketCap_raw,revenueperemp,Operating Income
PG,Procter & Gamble Company (The),"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North and Latin America, Europe, the Asia Pacific, Greater China, India, the Middle East, and Africa. It operates in five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments; and antiperspirants and deodorants, personal cleansing, and skin care products under the Head & Shoulders, Herbal Essences, Pantene, Rejoice, Olay, Old Spice, Safeguard, SK-II, and Secret brands. The Grooming segment provides female and male blades and razors, pre- and post-shave products, and other shave care products; and appliances that include electric shavers and epilators under the Braun, Gillette, and Venus brands. The Health Care segment offers toothbrushes, toothpaste, and other oral care products; and gastrointestinal, rapid diagnostics, respiratory, vitamins/minerals/supplements, pain relief, and other personal health care products under the Crest, Oral-B, Metamucil, Neurobion, Pepto Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents; and air care, dish care, P&G professional, and surface care products under the Ariel, Downy, Gain, Tide, Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment baby wipes, taped diapers, and pants; adult incontinence and feminine care products; and paper towels, tissues, and toilet papers under the Luvs, Pampers Always, Always Discreet, Tampax Bounty, Charmin, and Puffs brands. The company sells its products through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, baby stores, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio.",Consumer Defensive,Household & Personal Products,0.406825,315.542,25.73%,4.27,8.30%,2.14%,0.50%,18.10%,128.14,31-12-2020,2.46%,58.94%,21-01-2021,0.11%,66.11%,United States,99000,3.70%,16.15,2.46B,6.04,6.67,18.72%,2.46B,5.29,128.14,64.07,13900375040,52.09%,19032999936,24.13%,18.72%,0.53,9.62%,29.83,11941000192,31100000256,73974996992,146.92,94.34,4.265525,2.46%,24.21,Cincinnati,United States,"[{'raw': 1618876800, 'fmt': '2021-04-20'}]",151.44,167,73974996992,3.15542E+11,747222.1918,17850166774
MO,"Altria Group, Inc.","Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, oral tobacco products, and wine in the United States. It offers cigarettes primarily under the Marlboro brand; cigars principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. The company also produces and sells varietal and blended table wines, and sparkling wines under the Chateau Ste. Michelle and 14 Hands names; and imports and markets Antinori, Torres, and Villa Maria Estate wines, as well as Champagne Nicolas Feuillatte in the United States. In addition, it provides finance leasing services primarily in transportation, power generation, real estate, and manufacturing equipment industries. The company sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",Consumer Defensive,Tobacco,0.629469,90.425,40.23%,4.34,5.30%,2.13%,0.49%,,48.65,31-12-2020,7.11%,141.67%,24-03-2021,0.11%,63.10%,United States,7100,,9.7,1.86B,4.88,31.84,21.43%,1.86B,2.4,48.65,993.96,7448124928,64.72%,8384999936,55.66%,21.43%,0.56,15.00%,11.22,4944999936,29471000576,20841000960,48.81,30.95,4.338816,7.11%,20.27,Richmond,United States,"[{'raw': 1619654400, 'fmt': '2021-04-29'}]",48.87,60,20841000960,90425270272,2935352.248,11600101134
ARE,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500<sup>Â®</sup> urban office real estate investment trust (""REIT""), is the first, longest-tenured, and pioneering owner, operator, and developer uniquely focused on collaborative life science, technology, and agtech campuses in AAA innovation cluster locations, with a total market capitalization of $31.9 billion as of December 31, 2020, and an asset base in North America of 49.7 million square feet (""SF""). The asset base in North America includes 31.9 million RSF of operating properties and 3.3 million RSF of Class A properties undergoing construction, 7.1 million RSF of near-term and intermediate-term development and redevelopment projects, and 7.4 million SF of future development projects. Founded in 1994, Alexandria pioneered this niche and has since established a significant market presence in key locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science, technology, and agtech campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science, technology, and agtech companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",Real Estate,REIT—Office,0.765438,22.349,46.41%,11.75,13.20%,6.13%,0.52%,,163.5,31-12-2020,2.62%,70.55%,30-03-2021,1.07%,96.33%,United States,470,118.10%,26.71,135M,3.02,1.91,40.55%,136.69M,6.01,163.5,58.83,941878400,72.11%,882510016,28.39%,40.55%,2.92,1.64%,15.08,568531968,7909036032,1901428992,179.79,109.22,11.753951,2.62%,27.2,Pasadena,United States,"[{'raw': 1619395200, 'fmt': '2021-04-26'}]",192.29,206,1901428992,22349303808,4045593.6,539815690.8
DG,Dollar General Corporation,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States. The company offers consumable products, including paper and cleaning products, such as paper towels, bath tissues, paper dinnerware, trash and storage bags, and laundry products; packaged food comprising cereals, canned soups and vegetables, condiments, spices, sugar, and flour; and perishables that include milk, eggs, bread, refrigerated and frozen food, beer, and wine. Its consumable products also comprise snacks, such as candies, cookies, crackers, salty snacks, and carbonated beverages; health and beauty products, including over-the-counter medicines and personal care products, such as soaps, body washes, shampoos, cosmetics, and dental hygiene and foot care products; pet supplies and pet food; and tobacco products. In addition, the company offers seasonal products comprising holiday items, toys, batteries, small electronics, greeting cards, stationery, prepaid phones and accessories, gardening supplies, hardware, and automotive and home office supplies; and home products that include kitchen supplies, cookware, small appliances, light bulbs, storage containers, frames, candles, craft supplies and kitchen, and bed and bath soft goods. Further, it provides apparel, which comprise casual everyday apparel for infants, toddlers, girls, boys, women, and men, as well as socks, underwear, disposable diapers, shoes, and accessories. As of November 14, 2020, Dollar General Corporation operated 17,000 stores in 46 states in the United States. The company was formerly known as J.L. Turner & Son, Inc. and changed its name to Dollar General Corporation in 1968. Dollar General Corporation was founded in 1939 and is based in Goodlettsville, Tennessee.",Consumer Defensive,Discount Stores,0.554712,47.030,12.19%,1.45,17.30%,2.11%,1.45%,,191.96,30-10-2020,0.74%,13.86%,04-01-2021,0.20%,95.10%,United States,143000,57.10%,14.71,244.38M,10.08,6.73,7.84%,245M,10.1,191.96,192.7,2436775424,31.56%,3960428032,10.49%,7.84%,0.39,8.77%,129.63,2199442944,13460968448,32489957376,225.25,125,1.4475362,0.74%,19,Goodlettsville,United States,"[{'raw': 1616025600, 'fmt': '2021-03-18'}]",238.08,261,32489957376,47030390784,227202.4991,3408196529
SRE,Sempra Energy,"Sempra Energy operates as an energy-services holding company in the United States and internationally. The company's San Diego Gas & Electric Company segment generates, transmits, and distributes electricity; and supplies natural gas. It offers electric services to approximately 3.7 million population and natural gas services to approximately 3.4 million population that covers 4,100 square miles. Its Southern California Gas Company segment owns and operates a natural gas distribution, transmission, and storage system that supplies natural gas to a population of approximately 22 million covering an area of 24,000 square miles. The company's Sempra Texas Utilities segment is involved in the regulated transmission and distribution of electricity serving 3.7 million homes and businesses, and operation of 139,000 miles of transmission and distribution lines. Its transmission system includes 18,127 circuit miles of transmission lines, 336 transmission stations, and 806 distribution substations; distribution system comprises 121,129 miles of overhead and underground lines; and 63 miles of electric transmission lines. Its Sempra Mexico segment develops, owns, operates, or holds interests in natural gas, electric, liquefied natural gas (LNG), liquid petroleum gas (LPG), ethane, and liquid fuels infrastructure; and purchases LNG, and purchases and sells natural gas. This segment operates natural-gas-fired, and wind and solar power generation facilities. Its assets/facilities consist of 1,850 miles of natural gas transmission pipelines, 15 compressor stations, and 139 miles of ethane pipelines; and 2,729 miles of natural gas distribution pipelines. The company's Sempra LNG segment develops and builds natural gas liquefaction export facilities; holds an interest in a facility for the export of LNG; owns and operates natural gas pipelines; and buys, sells, and transports natural gas. The company was founded in 1998 and is headquartered in San Diego, California.",Utilities,Utilities—Diversified,0.637053,38.959,22.79%,3.43,7.70%,1.75%,0.51%,,128.75,31-12-2020,3.29%,63.53%,24-03-2021,0.07%,87.85%,United States,14706,-4.40%,15.45,302.23M,8.52,1.84,34.58%,288.47M,12.88,128.75,100.61,-1942375040,39.57%,2591000064,24.02%,34.58%,0.45,2.58%,39.06,960000000,25084999680,11370000384,137.47,88,3.4264371,3.29%,10,San Diego,United States,"[{'raw': 1620000000, 'fmt': '2021-05-03'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",144.06,174,11370000384,38958592000,773153.8409,2731074092
TFSL,TFS Financial Corporation,"TFS Financial Corporation, through its subsidiaries, provides retail consumer banking services in the United States. Its deposit products include savings, money market, checking, individual retirement, and other qualified plan accounts, as well as certificates of deposit. The company also provides residential real estate mortgage loans, residential construction loans, and home equity loans and lines of credit, as well as purchase mortgages and first mortgage refinance loans. In addition, it offers escrow and settlement services. The company provides its products and services through its main office in Cleveland, Ohio; and 37 full-service branches and 7 loan production offices located throughout the states of Ohio and Florida. The company was founded in 1938 and is headquartered in Cleveland, Ohio. TFS Financial Corporation is a subsidiary of Third Federal Savings and Loan Association of Cleveland, MHC.",Financial Services,Banks—Regional,0.453954,5.974,39.44%,20.21,3.90%,1.54%,0.08%,,21.29,31-12-2020,5.31%,386.21%,08-03-2021,0.40%,91.13%,United States,1000,-2.50%,,47.76M,0.25,3.55,27.97%,280.58M,0.29,21.29,,,0.00%,116585000,36.98%,27.97%,,0.56%,1.07,501151008,3496072960,295608000,21.64,12.65,20.207598,5.31%,73.41,Cleveland,United States,"[{'raw': 1619568000, 'fmt': '2021-04-28'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",19,20,295608000,5973527552,295608,109315838.4
ZBRA,Zebra Technologies Corporation,"Zebra Technologies Corporation, together with its subsidiaries, provides enterprise asset intelligence solutions in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Asset Intelligence & Tracking and Enterprise Visibility & Mobility. The company designs, manufactures, and sells printers, which produce labels, wristbands, tickets, receipts, and plastic cards; RFID printers and encoders; accessories and options for its printers, including vehicle mounts and battery chargers; stock and customized thermal labels, receipts, ribbons, plastic cards, and RFID tags for printers; and temperature-monitoring labels primarily used in vaccine distribution, as well as self-laminating wristbands for use in laser printers. It also provides a range of maintenance, technical support, repair, and managed and professional services; real-time location systems and services; and tags, sensors, exciters, middleware software, and application software, as well as physical inventory management solutions, and rugged tablets and enterprise-grade mobile computing products and accessories. In addition, the company offers barcode scanners, image capture devices, and RFID readers; and workforce management solutions, workflow execution and task management solutions, and prescriptive analytics solutions, as well as communications and collaboration solutions. The company serves retail and e-commerce, transportation and logistics, manufacturing, healthcare, hospitality, warehouse and distribution, energy and utilities, government, education, and banking enterprises. It sells its products, solutions, and services through distributors, value added resellers, independent software vendors, direct marketers, and original equipment manufacturers. The company was founded in 1969 and is headquartered in Lincolnshire, Illinois.",Technology,Communication Equipment,1.654387,25.282,21.63%,5.68,9.70%,2.10%,0.37%,,472.85,31-12-2020,,0.00%,,1.13%,90.42%,United States,8800,17.80%,31.97,53.01M,17.13,11.79,11.33%,53.47M,9.35,472.85,67.63,848625024,45.03%,962000000,15.40%,11.33%,0.39,8.49%,83.23,168000000,1450000000,4448000000,516.79,150.06,5.6839166,,50.57,Lincolnshire,United States,"[{'raw': 1620086400, 'fmt': '2021-05-04'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",495.89,600,4448000000,25282060288,505454.5455,684992000
NFLX,"Netflix, Inc.","Netflix, Inc. provides entertainment services. It offers TV series, documentaries, and feature films across various genres and languages. The company provides members the ability to receive streaming content through a host of Internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services. The company has approximately 204 million paid members in 190 countries. Netflix, Inc. was founded in 1997 and is headquartered in Los Gatos, California.",Communication Services,Entertainment,0.828277,229.428,9.71%,9.18,21.50%,2.09%,0.23%,73.34%,518.02,31-12-2020,,0.00%,,1.55%,81.92%,United States,9400,-7.60%,51,437.06M,12.99,20.73,11.05%,441.8M,6.08,518.02,167.29,13214645248,38.88%,2427077120,18.34%,11.05%,1.23,7.82%,56.69,8205550080,18510825472,24996055040,593.29,290.25,9.178588,,85.2,Los Gatos,United States,"[{'raw': 1618790400, 'fmt': '2021-04-19'}, {'raw': 1619136000, 'fmt': '2021-04-23'}]",618.79,840,24996055040,2.29428E+11,2659154.791,4584276494
KEYS,Keysight Technologies Inc.,"Keysight Technologies, Inc. provides electronic design and test solutions to commercial communications, networking, aerospace, defense and government, automotive, energy, semiconductor, electronic, and education industries in the Americas, Europe, and the Asia Pacific. Its Communications Solutions Group segment provides electronic design automation (EDA) software; radio frequency and microwave test instruments; hardware and virtual network test platforms and software applications, including data center, routing and switching, software defined networking, security, and encryption; oscilloscopes, logic and serial protocol analyzers, logic-signal sources, arbitrary waveform generators, and bit error rate testers; optical modulation analyzers, optical component analyzers, optical power meters, and optical laser source solutions; and repair, calibration, and consulting services, as well as resells refurbished used Keysight equipment. The company's Electronic Industrial Solutions Group segment offers design tools; design verification solutions; and digital multi-meters, function generators, frequency counters, data acquisition systems, audio analyzers, LCR meters, thermal imagers, precision source measure units, ultra-high precision device current analyzers, and test executive software platforms, as well as various power supplies comprising AC/DC modular supplies and electronically programmable loads. This segment also provides printed-circuit-board-assembly testers, integrated circuit parametric testers, and sub-nano-meter positioning sub-assemblies; test and measurement products and software; and repair, calibration, and consulting services, as well as resells refurbished used Keysight equipment. The company sells its products through direct sales force, distributors, resellers, and manufacturer's representatives. Keysight Technologies, Inc. was incorporated in 2013 and is headquartered in Santa Rosa, California.",Technology,Scientific & Technical Instruments,0.954496,25.297,25.87%,5.87,7.80%,2.02%,0.34%,,136.01,31-01-2021,,0.00%,,0.44%,90.76%,United States,14000,5.50%,22.19,185.32M,6.33,7.57,14.77%,185.99M,3.37,136.01,57.01,867750016,60.03%,1114000000,18.88%,14.77%,2.26,7.09%,23.09,1887000064,2016000000,4305999872,155.5,77.93,5.874836,,40.37,Santa Rosa,United States,"[{'raw': 1621814400, 'fmt': '2021-05-24'}, {'raw': 1622160000, 'fmt': '2021-05-28'}]",161.46,175,4305999872,25297043456,307571.4194,812972775.8
CHKP,Check Point Software Technologi,"Check Point Software Technologies Ltd. develops, markets, and supports a range of products and services for IT security worldwide. The company offers a portfolio of network security, endpoint security, data security, and management solutions. It provides Check Point Infinity Architecture, a cyber security architecture that protects against 5th and 6th generation cyber-attacks across various networks, endpoint, cloud, workloads, Internet of Things, and mobile; Check Point Network Security, security gateways and software platforms that support small business and large enterprise data center and telco-grade environment; and Check Point SandBlast family for threat prevention and zero-day protections. The company also offers Check Point CloudGuard cloud security product that delivers threat prevention security, cloud visibility, cloud security posture management, and workload protection solutions for enterprise cloud networks, data, and applications; Check Point SandBlast Mobile for mobile security in iOS and Android devices; and Check Point Security Management, which offers security management through a single console that streamlines security operations and provides visibility into policy administration and threat analysis. In addition, the company provides technical customer support programs and plans; professional services in implementing, upgrading, and optimizing Check Point products comprising design planning and security implementation; and certification and educational training services on Check Point products. It sells its products and services to enterprises, service providers, small and medium sized businesses, and consumers through a network of channel partners, such as distributors, resellers, system integrators, original equipment manufacturers, and managed security service providers. It has partnership with OMNIQ Corp. on ZoneAlarm cyber security solution. Check Point Software Technologies Ltd. was founded in 1993 and is headquartered in Tel Aviv, Israel.",Technology,Software—Infrastructure,0.655471,16.144,55.77%,7.82,3.60%,2.01%,0.26%,,115.15,31-12-2020,,0.00%,,21.67%,79.20%,Israel,,-0.60%,15.28,107.47M,7.17,4.55,41.00%,140.2M,5.96,115.15,0.95,796524992,89.35%,1151600000,43.79%,41.00%,1.44,9.74%,14.7,1687699968,33100000,2064899968,139.26,82.41,7.818311,,19.32,Tel Aviv,Israel,"[{'raw': 1619395200, 'fmt': '2021-04-26'}, {'raw': 1619740800, 'fmt': '2021-04-30'}]",131.61,155,2064899968,16144030720,,904219696
TEL,TE Connectivity Ltd. New Switze,"TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the AsiaÂPacific, and the Americas. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides terminals and connector systems and components, sensors, antennas, relays, application tooling, and wire and heat shrink tubing products for use in the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers terminals and connector systems and components; and heat shrink tubing, interventional medical components, relays, and wires and cables for aerospace, defense, oil and gas, industrial equipment, medical, and energy markets. The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets. TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct selling to manufacturers, as well as through third-party distributors. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland.",Technology,Electronic Components,1.384073,43.414,17.73%,3.47,11.20%,1.99%,0.57%,,131.21,25-12-2020,1.44%,678.57%,20-05-2021,0.19%,94.89%,Switzerland,80000,1365.40%,18.23,328.02M,6.51,4.41,0.91%,330.87M,0.34,131.21,44.14,1473874944,30.74%,2220999936,14.74%,0.91%,0.92,5.73%,37.84,1098000000,4405000192,12526000128,135.53,48.62,3.4658883,1.44%,381.42,Schaffhausen,Switzerland,"[{'raw': 1619395200, 'fmt': '2021-04-26'}, {'raw': 1619740800, 'fmt': '2021-04-30'}]",136,156,12526000128,43413716992,156575.0016,1846332419
USB,U.S. Bancorp,"U.S. Bancorp, a financial services holding company, provides various financial services in the United States. It operates in Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support segments. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as cash and investment management, ATM processing, mortgage banking, and brokerage and leasing services. As of December 31, 2020, the company provided its products and services through a network of 2,434 banking offices principally operating in the Midwest and West regions of the United States, as well as through online services and over mobile devices; and operated a network of 4,232 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.",Financial Services,Banks—Regional,1.139219,82.100,19.31%,4.27,1.50%,0.29%,0.07%,,54.64,31-12-2020,3.15%,54.90%,30-12-2020,0.09%,75.21%,United States,68108,2.20%,,1.5B,4.18,1.75,25.77%,1.5B,3.06,54.64,,,0.00%,3716000000,32.36%,25.77%,,0.95%,12.75,66633998336,55587000320,19242000384,54.72,28.36,4.26673,3.15%,17.86,Minneapolis,United States,"[{'raw': 1618444800, 'fmt': '2021-04-15'}]",54.85,65,19242000384,82100420608,282521.8827,6226711324
INFY,Infosys Limited,"Infosys Limited, together with its subsidiaries, provides consulting, technology, outsourcing, and next-generation digital services in North America, Europe, India, and internationally. It provides application development and management, independent validation, product engineering and management, infrastructure management, enterprise application management, and support and integration services. The company's products and platforms include Finacle, a core banking solution; Edge suite of products; Infosys Nia, an artificial intelligence platform; Infosys McCamish - an insurance platform; Wingspan, a customizable learning platform; Stater mortgage servicing platform; Panaya automation suite; and Skava, an e-commerce suite. The company serves clients in the financial services and insurance, life sciences and healthcare, manufacturing, retail, consumer packaged goods and logistics, hi-tech, communications, telecom OEM, media, energy, utilities, resources, services, and other industries. Infosys has strategic partnership with Rolls-Royce for aerospace engineering. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was founded in 1981 and is headquartered in Bengaluru, India.",Technology,Information Technology Services,0.617355,80.333,23.50%,6.11,8.40%,1.97%,0.32%,,18.91,31-12-2020,1.52%,48.72%,23-10-2020,0.00%,18.02%,India,249312,12.60%,22.33,3.69B,0.67,8.19,19.06%,4.24B,0.59,18.91,7.02,2132749952,33.56%,3088999936,23.73%,19.06%,2.37,15.01%,3.1,3515000064,692000000,13144999936,19.16,6.76,6.111303,1.52%,32.05,Bengaluru,India,[],20.56,25,13144999936,80333078528,52725.09922,3119308485
EQIX,"Equinix, Inc.","Equinix (Nasdaq: EQIX) is the world's digital infrastructure company, enabling digital leaders to harness a trusted platform to bring together and interconnect the foundational infrastructure that powers their success. Equinix enables today's businesses to access all the right places, partners and possibilities they need to accelerate advantage. With Equinix, they can scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value.",Real Estate,REIT—Specialty,0.290899,59.644,38.74%,10,12.80%,4.96%,0.50%,,668,31-12-2020,1.63%,254.55%,23-02-2021,0.45%,96.45%,United States,10013,-59.20%,28.68,88.82M,9.34,5.6,6.20%,89.1M,4.18,668,130.93,2454179072,48.44%,2309826048,18.10%,6.20%,1.22,2.65%,67.99,1604868992,13923339264,5963107840,839.77,477.87,10.002221,1.63%,159.81,Redwood City,United States,"[{'raw': 1620086400, 'fmt': '2021-05-04'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",841.42,942,5963107840,59644321792,595536.5864,1079322519
UNH,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. It operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health and well-being services to individuals age 50 and older, addressing their needs for preventive and acute health care services, as well as services dealing with chronic disease and other specialized issues for older individuals; Medicaid plans, children's health insurance program, and health care programs; medical and dental benefits; and hospital and clinical services. The OptumHealth segment provides access to networks of care provider specialists, health management services, care delivery, consumer engagement, and financial services. This segment serves individuals directly through care delivery systems, employers, payers, and government entities. The OptumInsight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The OptumRx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and compounding pharmacy, and purchasing and clinical, as well as develops programs in areas, such as step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated has partnership with the University of California, San Francisco to expand the mental health workforce in California. UnitedHealth Group Incorporated was incorporated in 1977 and is based in Minnetonka, Minnesota.",Healthcare,Healthcare Plans,0.757313,336.552,8.62%,1.31,7.50%,0.65%,0.49%,58.20%,356.02,31-12-2020,1.37%,30.13%,12-03-2021,0.58%,89.32%,United States,330000,-37.50%,15.1,939.75M,21.07,5.14,5.99%,948.82M,16.03,356.02,67.93,19158749184,26.06%,22173999104,8.71%,5.99%,0.62,7.55%,270.96,19780999168,47914000384,2.57141E+11,367.95,187.72,1.3088245,1.37%,22.21,Minnetonka,United States,"[{'raw': 1618272000, 'fmt': '2021-04-13'}, {'raw': 1618790400, 'fmt': '2021-04-19'}]",396.63,462,2.57141E+11,3.36552E+11,779215.1459,22396980938
FDS,FactSet Research Systems Inc.,"FactSet Research Systems Inc. provides integrated financial information and analytical applications to the investment and corporate communities in the Americas, EMEA, and the Asia Pacific. The company delivers insight and information through the workflow solutions of research, analytics and trading, content and technology solutions, and wealth. It serves a range of financial professionals, which include portfolio managers, investment research professionals, investment bankers, risk and performance analysts, wealth advisors, and corporate clients. FactSet Research Systems Inc. was founded in 1978 and is headquartered in Norwalk, Connecticut.",Financial Services,Financial Data & Stock Exchanges,0.754062,11.808,32.94%,7.79,5.90%,1.94%,0.25%,,310.9,30-11-2020,0.97%,30.79%,25-02-2021,1.35%,92.42%,United States,10622,7.70%,23.95,37.53M,11.85,12.41,25.08%,37.98M,9.84,310.9,93.58,320154496,52.59%,499324992,29.52%,25.08%,3.22,14.49%,39.94,578302976,891454016,1515659008,363.64,195.22,7.7903714,0.97%,31.6,Norwalk,United States,"[{'raw': 1617062400, 'fmt': '2021-03-30'}]",307.92,351,1515659008,11807546368,142690.5487,447422539.2
SHW,Sherwin-Williams Company (The),"The Sherwin-Williams Company develops, manufactures, distributes, and sells paints, coatings, and related products to professional, industrial, commercial, and retail customers. It operates in three segments: The Americas Group, Consumer Brands Group, and Performance Coatings Group. The Americas Group segment offers architectural paints and coatings, and protective and marine products, as well as OEM product finishes and related products for architectural and industrial paint contractors, and do-it-yourself homeowners. The Consumer Brands Group segment provides branded and private-label architectural paints, stains, varnishes, industrial products, wood finishes products, wood preservatives, applicators, corrosion inhibitors, aerosols, caulks, and adhesives to retailers and distributors. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications, automotive refinish products, protective and marine coatings, coil coatings, packaging coatings, and performance-based resins and colorants. It serves retailers, dealers, jobbers, licensees, and other third-party distributors through its branches and direct sales staff, as well as through outside sales representatives. The company has operations primarily in North and South America, the Caribbean, Europe, Asia, and Australia. As of December 31, 2021, it operated 4,774 company-operated stores. The Sherwin-Williams Company was founded in 1866 and is headquartered in Cleveland, Ohio.",Basic Materials,Specialty Chemicals,1.04117,63.172,18.56%,3.44,9.10%,1.69%,0.49%,,708.13,31-12-2020,0.76%,24.28%,26-02-2021,9.52%,80.01%,United States,61031,63.70%,21.22,80.35M,29.82,17.64,11.06%,89.21M,22.08,708.13,280.09,2845274880,47.29%,3408600064,15.56%,11.06%,0.51,8.73%,203.06,226600000,10113500160,18361700352,758,325.43,3.4404063,0.76%,32.07,Cleveland,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",792.05,875,18361700352,63171710976,300858.5858,2857080575
